route_id,route_long_name,route_color,trip_id,service_id,direction_id,stop_sequence,stop_name,stop_lat,stop_lon,location_type,shape_pt_sequence,shape_id
10h,tanjung priok - blok m,9b1f21,10h-r03,sh,0,16,kejaksaan agung,-6.24046,106.798482,0,1,10h-r03_shp
10h,tanjung priok - blok m,9b1f21,10h-r04,sh,1,16,gunung sahari mangga dua,-6.136821,106.832315,0,1,10h-r04_shp
10h,tanjung priok - blok m,9b1f21,10h-r04,sh,1,17,pademangan,-6.133712,106.831591,0,1,10h-r04_shp
10h,tanjung priok - blok m,9b1f21,10h-r03,sh,0,17,blok m,-6.243312,106.80175,0,1,10h-r03_shp
10h,tanjung priok - blok m,9b1f21,10h-r04,sh,1,18,tanjung priok,-6.10956,106.882156,0,1,10h-r04_shp
10h,tanjung priok - blok m,9b1f21,10h-r03,sh,0,2,gunung sahari mangga dua,-6.136805,106.832428,0,1,10h-r03_shp
10h,tanjung priok - blok m,9b1f21,10h-r04,sh,1,2,masjid agung,-6.236472,106.798412,0,1,10h-r04_shp
10h,tanjung priok - blok m,9b1f21,10h-r03,sh,0,3,jembatan merah,-6.146731,106.834332,0,1,10h-r03_shp
10h,tanjung priok - blok m,9b1f21,10h-r04,sh,1,3,bundaran senayan g-h-j,-6.227847,106.800843,0,1,10h-r04_shp
10h,tanjung priok - blok m,9b1f21,10h-r03,sh,0,4,pasar baru timur,-6.162262,106.838163,0,1,10h-r03_shp
10h,tanjung priok - blok m,9b1f21,10h-r04,sh,1,4,gelora bung karno,-6.224212,106.805729,0,1,10h-r04_shp
10h,tanjung priok - blok m,9b1f21,10h-r04,sh,1,5,senayan jcc arah barat,-6.213962,106.808428,0,1,10h-r04_shp
10h,tanjung priok - blok m,9b1f21,10h-r03,sh,0,5,juanda,-6.168086,106.830792,0,1,10h-r03_shp
10h,tanjung priok - blok m,9b1f21,10h-r04,sh,1,6,slipi kemanggisan arah utara,-6.18991,106.796939,0,1,10h-r04_shp
10h,tanjung priok - blok m,9b1f21,10h-r03,sh,0,6,pecenongan,-6.167825,106.828169,0,1,10h-r03_shp
10h,tanjung priok - blok m,9b1f21,10h-r04,sh,1,7,rs harapan kita arah utara,-6.184506,106.796739,0,1,10h-r04_shp
10h,tanjung priok - blok m,9b1f21,10h-r03,sh,0,7,petojo,-6.17001,106.81699,0,1,10h-r03_shp
10h,tanjung priok - blok m,9b1f21,10h-r03,sh,0,8,rs tarakan,-6.17118,106.810133,0,1,10h-r03_shp
10h,tanjung priok - blok m,9b1f21,10h-r04,sh,1,8,tomang mandala,-6.176833,106.800344,0,1,10h-r04_shp
10h,tanjung priok - blok m,9b1f21,10h-r03,sh,0,9,tomang mandala,-6.176897,106.800386,0,1,10h-r03_shp
10h,tanjung priok - blok m,9b1f21,10h-r04,sh,1,9,rs tarakan,-6.171114,106.810112,0,1,10h-r04_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,0,bintaro kodam,-6.260196,106.76594,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,0,blok m jalur 2,-6.243369,106.80188,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,1,jln. palatehan,-6.240057,106.800758,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,1,univ. moestopo bintaro,-6.258469,106.76529,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,10,sbr. kec. pesanggrahan,-6.257055,106.75629,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,10,cipulir 1,-6.237918,106.7749,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,11,seskoal 1,-6.238155,106.77231,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,11,kel. pesanggrahan 2,-6.255333,106.756496,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,12,kartini hospital 1,-6.238072,106.76997,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,12,sbr. smpn 235,-6.254607,106.75642,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,13,lemigas,-6.237935,106.76689,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,13,sd kartika x-2,-6.25388,106.75637,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r02,sh,1,14,ps. cipulir,-6.237895,106.76523,0,1,1c-r02_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,14,smk kartika x-2,-6.252716,106.75631,0,1,1c-r01_shp
1c,pesanggrahan - blok m,d65e62,1c-r01,sh,0,15,ps. pesanggrahan 2,-6.251811,106.75631,0,1,1c-r01_shp
