location_name,node_id,node_name,lat,lon,connected_to,distance_km
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,rs mitra keluarga 2,17.82
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,patra kuningan,17.82
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,terrace 2 pondok indah,7.06
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,patra kuningan,7.06
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,grand wijaya dharmawangsa,4.27
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,patra kuningan,4.27
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,karet sudirman d-e-f,2.61
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,patra kuningan,2.61
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,pengadilan negeri jaksel 1,2.21
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,jln. poncol jaya 2,4.67
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,pengadilan negeri jaksel 1,4.67
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,rs harapan bunda,5.82
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,pengadilan negeri jaksel 1,5.82
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,kalibata city 1,4.77
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,pengadilan negeri jaksel 1,4.77
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,permata eksekutif 2,9.35
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,pengadilan negeri jaksel 1,9.35
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,jln. h. gari,7.2
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,pengadilan negeri jaksel 1,7.2
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,transvision,4.71
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,pengadilan negeri jaksel 1,4.71
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,rs mitra keluarga 2,19.71
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,pengadilan negeri jaksel 1,19.71
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,terrace 2 pondok indah,5.23
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,pengadilan negeri jaksel 1,5.23
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,grand wijaya dharmawangsa,3.65
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,pengadilan negeri jaksel 1,3.65
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,karet sudirman d-e-f,7.67
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,pengadilan negeri jaksel 1,7.67
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,jln. poncol jaya 2,5.42
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,rs harapan bunda,8.8
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,jln. poncol jaya 2,8.8
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,kalibata city 1,4.3
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,jln. poncol jaya 2,4.3
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,permata eksekutif 2,6.44
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,jln. poncol jaya 2,6.44
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,jln. h. gari,6.8
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,jln. poncol jaya 2,6.8
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,transvision,1.06
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,jln. poncol jaya 2,1.06
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,rs mitra keluarga 2,19.26
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,jln. poncol jaya 2,19.26
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,terrace 2 pondok indah,5.42
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,jln. poncol jaya 2,5.42
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,grand wijaya dharmawangsa,2.66
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,jln. poncol jaya 2,2.66
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,karet sudirman d-e-f,3.0
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,jln. poncol jaya 2,3.0
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,rs harapan bunda,8.8
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,kalibata city 1,5.32
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,rs harapan bunda,5.32
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,permata eksekutif 2,14.76
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,rs harapan bunda,14.76
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,jln. h. gari,13.02
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,rs harapan bunda,13.02
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,transvision,8.13
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,rs harapan bunda,8.13
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,rs mitra keluarga 2,15.38
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,rs harapan bunda,15.38
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,terrace 2 pondok indah,11.05
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,rs harapan bunda,11.05
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,grand wijaya dharmawangsa,9.13
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,rs harapan bunda,9.13
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,karet sudirman d-e-f,11.24
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,rs harapan bunda,11.24
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,kalibata city 1,4.3
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,permata eksekutif 2,10.74
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,kalibata city 1,10.74
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,jln. h. gari,10.45
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,kalibata city 1,10.45
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,transvision,3.34
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,kalibata city 1,3.34
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,rs mitra keluarga 2,15.45
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,kalibata city 1,15.45
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,terrace 2 pondok indah,8.67
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,kalibata city 1,8.67
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,grand wijaya dharmawangsa,5.94
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,kalibata city 1,5.94
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,karet sudirman d-e-f,6.12
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,kalibata city 1,6.12
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,permata eksekutif 2,3.59
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,jln. h. gari,4.39
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,permata eksekutif 2,4.39
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,transvision,7.45
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,permata eksekutif 2,7.45
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,rs mitra keluarga 2,25.33
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,permata eksekutif 2,25.33
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,terrace 2 pondok indah,5.26
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,permata eksekutif 2,5.26
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,grand wijaya dharmawangsa,5.72
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,permata eksekutif 2,5.72
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,karet sudirman d-e-f,6.08
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,permata eksekutif 2,6.08
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,jln. h. gari,3.4
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,transvision,7.81
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,jln. h. gari,7.81
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,rs mitra keluarga 2,25.86
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,jln. h. gari,25.86
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,terrace 2 pondok indah,1.97
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,jln. h. gari,1.97
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,grand wijaya dharmawangsa,4.51
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,jln. h. gari,4.51
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,karet sudirman d-e-f,8.24
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,jln. h. gari,8.24
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,transvision,8.31
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,rs mitra keluarga 2,18.2
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,transvision,18.2
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,terrace 2 pondok indah,6.34
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,transvision,6.34
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,grand wijaya dharmawangsa,3.51
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,transvision,3.51
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,karet sudirman d-e-f,3.2
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,transvision,3.2
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,rs mitra keluarga 2,21.19
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,terrace 2 pondok indah,24.12
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,rs mitra keluarga 2,24.12
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,grand wijaya dharmawangsa,21.36
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,rs mitra keluarga 2,21.36
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,karet sudirman d-e-f,19.39
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,rs mitra keluarga 2,19.39
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,terrace 2 pondok indah,2.66
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,grand wijaya dharmawangsa,2.85
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,terrace 2 pondok indah,2.85
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,karet sudirman d-e-f,7.43
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,terrace 2 pondok indah,7.43
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,grand wijaya dharmawangsa,5.91
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,karet sudirman d-e-f,5.17
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,grand wijaya dharmawangsa,5.17
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,karet sudirman d-e-f,3.07
