location_name,node_id,node_name,lat,lon,connected_to,distance_km
rs tarakan,10h,tanjung priok - blok m,-6.171114,106.810112,terrace 2 pondok indah,10.85
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,rs tarakan,10.85
rs tarakan,10h,tanjung priok - blok m,-6.171114,106.810112,grand wijaya dharmawangsa,9.31
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,rs tarakan,9.31
rs tarakan,10h,tanjung priok - blok m,-6.171114,106.810112,karet sudirman d-e-f,4.69
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,rs tarakan,4.69
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,jln. makam,3.2
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,gg. h. ayub,4.23
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,jln. makam,4.23
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,rest area cibubur,16.84
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,jln. makam,16.84
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,cipulir 1,0.29
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,jln. makam,0.29
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,menara astra,6.0
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,jln. makam,6.0
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,museum kebangkitan,9.45
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,jln. makam,9.45
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,one park residences,1.44
one park residences,1q,rempoa - blok m,-6.245436,106.78844,jln. makam,1.44
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,patra kuningan,6.07
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,jln. makam,6.07
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,pengadilan negeri jaksel 1,6.67
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,jln. makam,6.67
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,jln. poncol jaya 2,4.58
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,jln. makam,4.58
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,rs harapan bunda,12.24
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,jln. makam,12.24
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,kalibata city 1,8.69
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,jln. makam,8.69
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,permata eksekutif 2,2.75
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,jln. makam,2.75
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,jln. h. gari,2.77
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,jln. makam,2.77
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,transvision,5.64
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,jln. makam,5.64
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,rs mitra keluarga 2,23.84
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,jln. makam,23.84
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,terrace 2 pondok indah,2.74
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,jln. makam,2.74
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,grand wijaya dharmawangsa,3.11
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,jln. makam,3.11
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,karet sudirman d-e-f,5.52
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,jln. makam,5.52
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,gg. h. ayub,1.77
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,rest area cibubur,12.83
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,gg. h. ayub,12.83
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,cipulir 1,4.43
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,gg. h. ayub,4.43
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,menara astra,7.52
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,gg. h. ayub,7.52
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,museum kebangkitan,11.14
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,gg. h. ayub,11.14
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,one park residences,2.99
one park residences,1q,rempoa - blok m,-6.245436,106.78844,gg. h. ayub,2.99
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,patra kuningan,5.69
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,gg. h. ayub,5.69
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,pengadilan negeri jaksel 1,2.7
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,gg. h. ayub,2.7
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,jln. poncol jaya 2,4.19
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,gg. h. ayub,4.19
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,rs harapan bunda,8.51
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,gg. h. ayub,8.51
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,kalibata city 1,6.46
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,gg. h. ayub,6.46
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,permata eksekutif 2,6.97
