route_id,route_long_name,route_color,trip_id,service_id,direction_id,stop_sequence,stop_name,stop_lat,stop_lon,location_type,shape_pt_sequence,shape_id
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,20,sbr. smk al hidayah 1,-6.308208,106.81387,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,20,sbr. gg. cermai,-6.324671,106.811372,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,21,sbr. gg. film jagakarsa,-6.322325,106.81114,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,21,simpang cilandak kko margasatwa,-6.310312,106.81375,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,22,masjid jami al akhyar,-6.317992,106.81119,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,22,jln. margasatwa barat,-6.310776,106.814218,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,23,pintu barat ragunan 1,-6.310788,106.81622,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,23,rsud jagakarsa,-6.31636,106.81168,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,24,pemadam jagakarsa,-6.315585,106.81166,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,24,kav polri blok h jagakarsa,-6.312293,106.81629,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,25,gg. harapan i jagakarsa,-6.313476,106.81269,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,25,kav polri blok e jagakarsa,-6.314309,106.81633,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,26,simpang jln. paso,-6.316025,106.816128,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,26,jln. m. khafi,-6.311739,106.813142,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,27,simpang margasatwa cilandak kko,-6.31022,106.81364,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,27,sekolah cita buana,-6.316189,106.81425,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,28,sbr. rsud jagakarsa,-6.316361,106.81173,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,28,smk al hidayah 1,-6.30829,106.81377,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,29,sdn cilandak timur 01,-6.306334,106.81391,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,29,sbr. masjid jami al akhyar,-6.318206,106.81119,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,3,smpn 131,-6.362279,106.8017,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,3,graha pejaten,-6.277337,106.84187,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,30,sbr. jln. kampung utan,-6.301788,106.8143,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,30,gg. film jagakarsa,-6.322356,106.81118,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,31,sbr. gg. cemara cilandak kko,-6.299539,106.81463,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,31,sbr. jln. manggis,-6.325073,106.811469,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,32,spbu cilandak kko,-6.29585,106.81551,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,32,simpang herman susilo 1,-6.326889,106.81098,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,33,sbr. cilandak kko,-6.294056,106.81604,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,33,taman buni,-6.331063,106.80825,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,34,sbr. masjid el syifa ciganjur,-6.332948,106.80755,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,34,ampera 1,-6.292069,106.81774,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,35,smp el syifa ciganjur,-6.334125,106.80695,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,35,sbr. smk 57,-6.291191,106.82342,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,36,sbr. spbu warung jati,-6.286956,106.82555,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,36,sbr. jln. pasir,-6.33645,106.806294,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,37,jln. kemenyan ciganjur,-6.339055,106.80508,0,1,jak.47-r02_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,37,sbr. gg. jenan,-6.286121,106.826953,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r01,sh,0,38,koperasi,-6.285978,106.83071,0,1,jak.47-r01_shp
jak.47,pasar minggu - ciganjur via kb ragunan,00609c,jak.47-r02,sh,1,38,sbr. jln. kelinci,-6.340332,106.804777,0,1,jak.47-r02_shp
