id,start,end,start_x,start_y,end_x,end_y,length,travel_time
152,2408396724,2597980174,106.7337822,-6.1967632,106.7326139,-6.1951476,222,21
153,2597980174,2408396733,106.7326139,-6.1951476,106.7344139,-6.1914542,1085,103
154,2408396733,7028653893,106.7344139,-6.1914542,106.7374676,-6.1914956,338,15
155,7028653893,316224154,106.7374676,-6.1914956,106.7475406,-6.1911739,1115,49
156,316224154,332526380,106.7475406,-6.1911739,106.7643435,-6.1900209,1862,82
157,332526380,6456863549,106.7643435,-6.1900209,106.7658315,-6.1899944,165,7
158,6456863549,332526386,106.7658315,-6.1899944,106.7689384,-6.1898519,344,15
159,332526386,316176020,106.7689384,-6.1898519,106.7928256,-6.1827576,2802,123
160,316176020,1757800817,106.7928256,-6.1827576,106.7946203,-6.1803984,329,14
161,1757800817,1757800861,106.7946203,-6.1803984,106.7956789,-6.1795516,151,14
162,1757800861,6776762981,106.7956789,-6.1795516,106.7958102,-6.1794797,17,1
163,6776762981,6776762980,106.7958102,-6.1794797,106.7958971,-6.1794266,11,1
164,6776762980,310048835,106.7958971,-6.1794266,106.7962527,-6.1792491,44,3
165,310048835,6451500598,106.7962527,-6.1792491,106.7963832,-6.1791814,16,1
166,6451500598,3266396608,106.7963832,-6.1791814,106.7965817,-6.179106,23,2
167,3266396608,317987901,106.7965817,-6.179106,106.7968351,-6.1789889,31,2
168,317987901,317958545,106.7968351,-6.1789889,106.7998843,-6.1771854,394,28
169,317958545,315487156,106.7998843,-6.1771854,106.8026321,-6.1752012,375,27
170,315487156,5230379695,106.8026321,-6.1752012,106.8032396,-6.1748693,77,5
171,5230379695,104364332,106.8032396,-6.1748693,106.8085816,-6.1713971,707,50
172,104364332,6359768001,106.8085816,-6.1713971,106.8086569,-6.1713595,9,1
173,6359768001,186894208,106.8086569,-6.1713595,106.8108238,-6.1709392,244,17
174,186894208,318168807,106.8108238,-6.1709392,106.8107918,-6.1705151,47,3
175,318168807,318168806,106.8107918,-6.1705151,106.8102609,-6.1705277,59,10
176,318168806,318168805,106.8102609,-6.1705277,106.8097288,-6.170378,61,10
177,318168805,9682146698,106.8097288,-6.170378,106.8084868,-6.1708446,154,25
178,9682146698,6359768001,106.8084868,-6.1708446,106.8086569,-6.1713595,60,11
179,6359768001,6359768000,106.8086569,-6.1713595,106.8086755,-6.1715024,16,3
180,6359768000,5371879946,106.8086755,-6.1715024,106.8086075,-6.1715207,8,1
181,5371879946,5371880017,106.8086075,-6.1715207,106.8083739,-6.1716276,28,2
182,5371880017,5230379696,106.8083739,-6.1716276,106.8034704,-6.174861,652,46
183,5230379696,315487318,106.8034704,-6.174861,106.8028511,-6.1752,78,6
184,315487318,8797358690,106.8028511,-6.1752,106.8023521,-6.1755326,67,5
